TICID,RA,Dec,Tmag,Keywords
62480201,132.3219,-2.7043,11.93,G011180
62569051,133.6327,-5.8574,10.67,G011180;G011266
71200667,134.1441,-5.6011,14.23,G011180
7906972,133.3796,-5.0442,11.72,G011180
95670818,131.0949,-10.4061,11.32,G011180;G011266
95753361,135.4932,-6.308,13.63,G011180
95753766,135.6516,-6.5305,13.89,G011180
95782903,135.6286,-10.5773,12.16,G011238;G011180
95866787,136.3902,-6.0905,11.14,G011180
95868006,136.4318,-8.7004,12.67,G011180
1472493,146.9206,-14.1397,10.93,G011238;G011180
26051007,150.9702,-9.0501,9.95,G011180
26119826,151.7397,-10.4044,12.51,G011180
26262671,153.3721,-9.2514,14.1,G011180
289600764,145.9054,-16.8111,12.92,G011180
289710182,146.3752,-15.2621,14.26,G011180
289711486,146.3924,-12.0619,14.67,G011180
296723586,141.8545,-13.6955,13.8,G011180
33170601,148.5455,-9.7838,13.08,G011180
33220570,148.7907,-11.2817,13.54,G011180
33259380,149.2282,-9.6743,11.59,G011180
33259771,149.2753,-10.7027,12.75,G011180
178118127,107.936,-5.8833,11.41,G011180
268688836,105.2489,-2.3589,10.82,G011180
280529760,115.3094,1.3785,13.59,G011180
280540371,115.6086,1.982,14.48,G011180
284233323,108.7542,1.496,11.78,G011180
293140281,107.9303,3.8061,14.1,G011180
51329750,109.4104,-3.0062,13.15,G011180
61907096,110.0624,-2.4267,14.64,G011180
64400740,111.3629,-1.9891,8.94,G011180
64405250,111.4413,-0.4341,11.92,G011180
64910894,112.1916,-3.3024,9.07,G011180
65155744,112.6273,-3.6588,13.92,G011180
65751167,114.1261,-0.6605,11.12,G011180
66226943,115.2883,-0.944,13.76,G011180
94125400,115.1698,-7.379,12.38,G011180
95120958,115.6897,-7.4716,14.19,G011180
121204333,128.1278,-1.5798,14.49,G011153;G011180
121233140,128.2743,-5.0443,11.23,G011180
121286320,128.6091,-1.1466,10.25,G011231;G011180;G011266
122723085,117.4247,-3.343,10.4,G011180;G011266;G011238
123138072,118.7474,-4.1672,12.71,G011180
168978974,126.2174,-3.6839,13.65,G011180
169192628,127.3511,-4.2733,13,G011180
169625636,119.8322,-9.2004,9.24,G011180
169662137,119.9886,-9.739,11.29,G011180
169713576,120.124,-8.9159,11.36,G011180
170001691,120.9615,-7.9304,12.67,G011180
170369087,122.0691,-9.7323,11.57,G011180
178545596,124.1928,-2.065,12.39,G011180
178722152,125.457,-3.2928,14.28,G011180
19764947,125.5079,-9.5436,14.59,G011180
32004874,116.8338,-7.6414,14.34,G011180
32007594,116.8104,-9.2176,13.6,G011180
452975178,122.2631,0.9622,11.27,G011238;G011180
50837643,126.8942,-10.8721,14.53,G011180
158866916,87.6275,1.5893,13.77,G011180
159032760,88.27,4.7172,10.12,G011180
159089041,88.5421,1.8742,10.61,G011180
176406013,86.625,-2.7742,12.31,G011180
176760384,88.17,-3.0874,11.11,G011180
199785439,84.9731,3.8631,12.28,G011180
200052466,86.5803,1.2124,11.13,G011180
232174359,91.2684,1.5357,11.17,G011180
264542390,81.6427,0.2027,12.85,G011180
281987170,88.8785,1.4024,13.66,G011180
282084107,89.078,1.772,10.51,G011180
282119088,89.2535,0.6068,13.89,G011180
282120414,89.2433,1.9196,9.59,G011180
282271517,89.5392,1.111,12.69,G011180
343862795,84.3226,1.6433,14.59,G011180
4292919,81.3216,-3.7149,12.38,G011180
50659288,82.4652,-3.4442,9.67,G011180
50660646,82.463,-5.7004,10.81,G011180
66914642,88.2512,-5.9967,8.21,G011183;G011180
72831517,86.0306,-5.7297,12.32,G011180
72884504,86.2505,-4.4309,12.03,G011180
143216119,94.2432,-6.2983,13.69,G011180
232396068,93.0727,0.3996,13.65,G011180
232496036,93.6447,2.5051,10.75,G011266;G011180
233975043,100.5468,3.5799,9.62,G011180
234181895,101.6152,4.7654,12.75,G011180
234889480,98.2086,3.9941,14.07,G011180
237515636,102.8324,1.5819,13.36,G011180
242198644,93.739,-5.0488,11.39,G011180
250568884,94.7681,-3.6756,14.86,G011180
251192109,95.2669,-5.2371,13.65,G011180
251266073,95.8413,-0.0092,10.73,G011180
279789559,100.4262,-5.5755,14.18,G011180
280422608,101.057,-0.9253,9.91,G011180
369595789,99.7841,3.3691,10.32,G011180
37161603,98.22,-3.4108,12.99,G011180
42433233,96.3869,-5.5994,14.41,G011180
42467486,96.4852,-3.8038,10.78,G011180
42759873,96.854,-4.9984,12.62,G011180
248621612,66.4938,-4.0576,12.3,G011180
248650124,67.0247,-5.3994,10.77,G011180
248681579,67.7796,-5.3433,11.21,G011180
250135855,63.3924,-5.0016,11.97,G011180
250194132,65.1222,-4.4442,12.55,G011180
269634384,61.5288,-5.5799,10.66,G011231;G011180;G011266
34107914,59.6106,-7.1449,11.68,G011180
34146578,60.1543,-9.2476,14,G011180
34235541,61.3826,-7.0951,11.72,G011180
34273311,61.9791,-6.8949,13.2,G011180
34340852,62.6573,-7.7144,12.17,G011180
34343372,62.7608,-6.7933,11.35,G011180
37779003,65.2727,-7.824,12.51,G011180
37863903,65.8613,-7.3973,11.83,G011180;G011266
38589896,56.857,-6.8267,10.54,G011180
38628502,57.2742,-6.2603,11.29,G011238;G011180
38674067,57.6426,-7.9672,14.2,G011180
396935251,63.4307,2.1883,11.87,G011180
401945077,57.7502,-0.8815,13.32,G011153;G011180
401967017,57.8254,-1.8503,10.94,G011180
402213941,63.0134,1.2777,12.43,G011180;G011238
425158024,58.4058,-3.6335,13.16,G011180
448808985,66.206,1.1157,10.74,G011180
454117442,64.4143,2.3184,13.94,G011180
454118729,64.5035,2.2935,13.39,G011180
454121326,64.7144,1.393,10.17,G011180
464753014,60.3536,1.1229,13.93,G011180
464800120,62.057,1.3925,12.14,G011180
67717514,63.2328,-7.1679,10.23,G011180
67858914,64.7766,-7.462,11.59,G011180
67858967,64.7575,-7.6558,12.68,G011180
268534259,15.1174,-19.3897,7.39,G011048;G011250
268635135,16.563,-20.0604,8.24,G011048;G011250
28054692,13.1341,-20.9967,7.22,G011250;G011048
28054967,13.0526,-22.6183,7.03,G011250;G011048
28074449,13.1906,-18.5772,8.17,G011250;G011048
